date,stock_code,price,amount,volume,per,eps
20240611,042700,159300,15451085896200,880159,58.0327868852459,2745.0
20240611,047040,3625,1506632062750,534113,2.944760357432981,1231.0
20240611,047050,53700,9447053715600,5446535,14.00625978090767,3834.0
20240611,047810,51500,5019968010500,292805,22.41079199303742,2298.0
20240611,051600,36000,1620000000000,99749,9.95850622406639,3615.0
20240611,051900,401500,6270706095500,75947,49.8324438376567,8057.0
20240611,051910,375000,26472128625000,298873,21.9426565242832,17090.0
20240611,051915,263500,2025998800000,15751,,
20240611,051980,11560,1022240384440,2607374,-17.43589743589743,-663.0
20240611,052690,68400,2614248000000,94206,80.09367681498829,854.0
20240611,055550,46200,23533966486800,956400,5.501309835675161,8398.0
20240611,056190,28300,1016217908000,161417,25.42677448337826,1113.0
20240611,058470,260000,3963016200000,325038,35.72900920709083,7277.0
20240611,064350,37750,4120121560750,704424,25.59322033898305,1475.0
20240611,064760,124700,1455872500000,47153,23.77049180327869,5246.0
20240611,065350,68300,1877153648400,332977,149.780701754386,456.0
20240611,066570,98200,16070215334800,1238559,24.91121258244546,3942.0
20240611,066970,164800,5981372822400,327029,-30.67758749069248,-5372.0
20240611,067160,110200,1266723323400,46728,16.98258591462475,6489.0
