stock_code,name,market_type,region
019590,엠벤처투자,KOSDAQ,Korea
019660,글로본,KOSDAQ,Korea
019680,대교,KOSPI,Korea
019770,서연탑메탈,KOSDAQ,Korea
019990,에너토크,KOSDAQ,Korea
020000,한섬,KOSPI,Korea
020120,키다리스튜디오,KOSPI,Korea
020150,롯데에너지머티리얼즈,KOSPI,Korea
020180,대신정보통신,KOSDAQ,Korea
020400,대동금속,KOSDAQ,Korea
020560,아시아나항공,KOSPI,Korea
020710,시공테크,KOSDAQ,Korea
020760,일진디스플,KOSPI,Korea
021040,대호특수강,KOSDAQ,Korea
021050,서원,KOSPI,Korea
021080,에이티넘인베스트,KOSDAQ,Korea
021240,코웨이,KOSPI,Korea
021320,KCC건설,KOSDAQ,Korea
021650,한국큐빅,KOSDAQ,Korea
021820,세원정공,KOSPI,Korea
021880,메이슨캐피탈,KOSDAQ,Korea
022100,포스코DX,KOSPI,Korea
022220,TKG애강,KOSDAQ,Korea
023000,삼원강재,KOSPI,Korea
023150,MH에탄올,KOSPI,Korea
023160,태광,KOSDAQ,Korea
023350,한국종합기술,KOSPI,Korea
023410,유진기업,KOSDAQ,Korea
023440,제이스코홀딩스,KOSDAQ,Korea
023450,동남합성,KOSPI,Korea
023460,CNH,KOSDAQ,Korea
023530,롯데쇼핑,KOSPI,Korea
023590,다우기술,KOSPI,Korea
023600,삼보판지,KOSDAQ,Korea
023760,한국캐피탈,KOSDAQ,Korea
023770,플레이위드,KOSDAQ,Korea
023790,동일철강,KOSDAQ,Korea
023800,인지컨트롤스,KOSPI,Korea
023810,인팩,KOSPI,Korea
023900,풍국주정,KOSDAQ,Korea
023910,대한약품,KOSDAQ,Korea
023960,에쓰씨엔지니어링,KOSPI,Korea
024060,흥구석유,KOSDAQ,Korea
024070,WISCOM,KOSPI,Korea
024090,디씨엠,KOSPI,Korea
024110,기업은행,KOSPI,Korea
024120,KB오토시스,KOSDAQ,Korea
024720,콜마홀딩스,KOSPI,Korea
024740,한일단조,KOSDAQ,Korea
024800,유성티엔에스,KOSDAQ,Korea
024810,이화전기,KOSDAQ,Korea
024830,세원물산,KOSDAQ,Korea
024840,KBI메탈,KOSDAQ,Korea
024850,HLB이노베이션,KOSDAQ,Korea
024880,케이피에프,KOSDAQ,Korea
024890,대원화성,KOSPI,Korea
024900,덕양산업,KOSPI,Korea
024910,경창산업,KOSDAQ,Korea
024940,PN풍년,KOSDAQ,Korea
024950,삼천리자전거,KOSDAQ,Korea
025000,KPX케미칼,KOSPI,Korea
025320,시노펙스,KOSDAQ,Korea
025440,DH오토웨어,KOSDAQ,Korea
025530,SJM홀딩스,KOSPI,Korea
025540,한국단자,KOSPI,Korea
025550,한국선재,KOSDAQ,Korea
025560,미래산업,KOSPI,Korea
025620,제이준코스메틱,KOSPI,Korea
025750,한솔홈데코,KOSPI,Korea
025770,한국정보통신,KOSDAQ,Korea
025820,이구산업,KOSPI,Korea
025860,남해화학,KOSPI,Korea
025870,신라에스지,KOSDAQ,Korea
025880,케이씨피드,KOSDAQ,Korea
025890,한국주강,KOSPI,Korea
025900,동화기업,KOSDAQ,Korea
025950,동신건설,KOSDAQ,Korea
025980,아난티,KOSDAQ,Korea
026040,제이에스티나,KOSDAQ,Korea
026150,특수건설,KOSDAQ,Korea
026890,스틱인베스트먼트,KOSPI,Korea
026910,광진실업,KOSDAQ,Korea
026940,부국철강,KOSPI,Korea
026960,동서,KOSPI,Korea
027040,서울전자통신,KOSDAQ,Korea
027050,코리아나,KOSDAQ,Korea
027360,아주IB투자,KOSDAQ,Korea
027410,BGF,KOSPI,Korea
027580,상보,KOSDAQ,Korea
027710,팜스토리,KOSDAQ,Korea
027740,마니커,KOSPI,Korea
027830,대성창투,KOSDAQ,Korea
027970,한국제지,KOSPI,Korea
028050,삼성E&A,KOSPI,Korea
028080,휴맥스홀딩스,KOSDAQ,Korea
028100,동아지질,KOSPI,Korea
028260,삼성물산,KOSPI,Korea
028300,HLB,KOSDAQ,Korea
028670,팬오션,KOSPI,Korea
029460,케이씨,KOSPI,Korea
029480,광무,KOSDAQ,Korea
029530,신도리코,KOSPI,Korea
029780,삼성카드,KOSPI,Korea
029960,코엔텍,KOSDAQ,Korea
030000,제일기획,KOSPI,Korea
030190,NICE평가정보,KOSPI,Korea
030200,KT,KOSPI,Korea
030210,다올투자증권,KOSPI,Korea
030350,드래곤플라이,KOSDAQ,Korea
030520,한글과컴퓨터,KOSDAQ,Korea
030530,원익홀딩스,KOSDAQ,Korea
030610,교보증권,KOSPI,Korea
030720,동원수산,KOSPI,Korea
030960,양지사,KOSDAQ,Korea
031310,아이즈비전,KOSDAQ,Korea
031330,에스에이엠티,KOSDAQ,Korea
031430,신세계인터내셔날,KOSPI,Korea
031440,신세계푸드,KOSPI,Korea
031510,오스템,KOSDAQ,Korea
031820,콤텍시스템,KOSPI,Korea
031860,에스유홀딩스,KOSDAQ,Korea
031980,피에스케이홀딩스,KOSDAQ,Korea
032080,아즈텍WB,KOSDAQ,Korea
032190,다우데이타,KOSDAQ,Korea
032280,삼일,KOSDAQ,Korea
032300,한국파마,KOSDAQ,Korea
032350,롯데관광개발,KOSPI,Korea
032500,케이엠더블유,KOSDAQ,Korea
032540,TJ미디어,KOSDAQ,Korea
032560,황금에스티,KOSPI,Korea
032580,피델릭스,KOSDAQ,Korea
032620,유비케어,KOSDAQ,Korea
032640,LG유플러스,KOSPI,Korea
032680,소프트센,KOSDAQ,Korea
032750,삼진,KOSDAQ,Korea
032790,엠젠솔루션,KOSDAQ,Korea
032800,판타지오,KOSDAQ,Korea
032820,우리기술,KOSDAQ,Korea
032830,삼성생명,KOSPI,Korea
032850,비트컴퓨터,KOSDAQ,Korea
032860,더라미,KOSDAQ,Korea
032940,원익,KOSDAQ,Korea
032960,동일기연,KOSDAQ,Korea
032980,바이온,KOSDAQ,Korea
033050,제이엠아이,KOSDAQ,Korea
033100,제룡전기,KOSDAQ,Korea
033130,디지틀조선,KOSDAQ,Korea
033160,엠케이전자,KOSDAQ,Korea
033170,시그네틱스,KOSDAQ,Korea
033180,KH 필룩스,KOSPI,Korea
033200,모아텍,KOSDAQ,Korea
033230,인성정보,KOSDAQ,Korea
033240,자화전자,KOSPI,Korea
033250,체시스,KOSPI,Korea
033270,유나이티드제약,KOSPI,Korea
033290,코웰패션,KOSDAQ,Korea
033310,엠투엔,KOSDAQ,Korea
033320,제이씨현시스템,KOSDAQ,Korea
